repo,baseline,state,commit,d0,novelty,ghost_mass,changed_files_ratio,line_churn,commits_since_s0,days_since_s0,n_queries,recall1_stale,recall1_fresh,recall3_stale,recall3_fresh,recall5_stale,recall5_fresh,recall10_stale,recall10_fresh,mrr_stale,mrr_fresh,retrieval_loss
PostSpark 3,A,29a4e15d7,29a4e15d7,0.639886,0.525326,0.048565,0.715026,0.545826,56,130.93,44,0.159091,0.30303,0.265151,0.464015,0.30303,0.545455,0.359849,0.651515,0.264995,0.494355,0.242425
PostSpark 3,A,374597feb,374597feb,0.492388,0.357752,0.051406,0.586331,0.462689,32,113.02,41,0.182927,0.349593,0.308943,0.479675,0.349594,0.597561,0.410569,0.666667,0.308775,0.536387,0.247967
PostSpark 3,A,458bf5862,458bf5862,0.559756,0.427558,0.058741,0.64557,0.491986,40,118.16,42,0.166667,0.305556,0.277778,0.444444,0.31746,0.571429,0.376984,0.65873,0.277613,0.491112,0.253969
PostSpark 3,A,5192f8bcc,5192f8bcc,0.260316,0.173031,0.008018,0.398148,0.240945,20,22.6,30,0.266667,0.294444,0.438889,0.6,0.494444,0.666667,0.611111,0.705556,0.460881,0.547842,0.172223
PostSpark 3,A,5b2c84088,5b2c84088,0.559869,0.427579,0.05874,0.64557,0.492172,52,119.03,42,0.166667,0.305556,0.277778,0.468254,0.31746,0.579365,0.376984,0.666667,0.277613,0.497066,0.261905
PostSpark 3,A,9262d1dff,9262d1dff,0.108625,0.073451,0.0,0.201031,0.120601,4,5.81,28,0.303571,0.297619,0.488095,0.577381,0.547619,0.636905,0.672619,0.732143,0.495587,0.526721,0.089286
PostSpark 3,A,a4d32bab9,a4d32bab9,0.219444,0.148531,0.00828,0.352381,0.190637,8,11.06,30,0.266667,0.294444,0.438889,0.644444,0.494444,0.727778,0.611111,0.772222,0.460881,0.580377,0.233334
PostSpark 3,A,aa2521c96,aa2521c96,0.24778,0.159902,0.008147,0.386792,0.22932,16,17.74,30,0.266667,0.305556,0.438889,0.633333,0.494444,0.7,0.611111,0.738889,0.460881,0.575066,0.205556
PostSpark 3,A,afd9e04a9,afd9e04a9,0.550033,0.414916,0.060038,0.636364,0.488833,36,117.98,40,0.175,0.295833,0.291667,0.466667,0.333333,0.5625,0.395833,0.658333,0.291494,0.491267,0.229167
PostSpark 3,A,e54d47184,e54d47184,0.55984,0.427542,0.058744,0.64557,0.492032,48,119.02,42,0.166667,0.305556,0.277778,0.468254,0.31746,0.579365,0.376984,0.666667,0.277613,0.497077,0.261905
PostSpark 3,A,ec3dbfd29,ec3dbfd29,0.385446,0.292577,0.006813,0.507812,0.341933,28,108.19,39,0.205128,0.303419,0.337607,0.555556,0.380342,0.628205,0.470085,0.709402,0.354524,0.508208,0.247863
PostSpark 3,A,f4025186a,f4025186a,0.653537,0.542835,0.046746,0.726368,0.556416,59,133.97,44,0.159091,0.280303,0.265151,0.464015,0.30303,0.551136,0.359849,0.645833,0.264995,0.488815,0.248106
PostSpark 3,A,f7c0b2d2f,f7c0b2d2f,0.234649,0.153403,0.008221,0.383886,0.206191,12,14.76,30,0.266667,0.405556,0.438889,0.6,0.494444,0.677778,0.611111,0.738889,0.460881,0.621051,0.183334
PostSpark 3,A,fbe27e0bf,fbe27e0bf,0.559872,0.427584,0.05874,0.64557,0.492125,44,119.02,42,0.166667,0.305556,0.277778,0.468254,0.31746,0.571429,0.376984,0.65873,0.277613,0.497165,0.253969
PostSpark 3,A,fd26cb58f,fd26cb58f,0.262985,0.17304,0.008012,0.398148,0.245387,24,31.13,30,0.266667,0.294444,0.438889,0.616667,0.494444,0.666667,0.611111,0.705556,0.460881,0.547601,0.172223
PostSpark 3,B,0c8534b51,0c8534b51,0.297829,0.186185,0.057811,0.421725,0.243246,10,9.82,41,0.288618,0.313008,0.479675,0.455285,0.536585,0.585366,0.601626,0.674797,0.450897,0.502375,0.048781
PostSpark 3,B,10b598724,10b598724,0.302715,0.190873,0.057476,0.428571,0.245478,18,10.84,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.571429,0.587302,0.65873,0.440161,0.497166,0.047619
PostSpark 3,B,29a4e15d7,29a4e15d7,0.429022,0.329538,0.047503,0.542857,0.302022,28,22.74,44,0.268939,0.30303,0.44697,0.464015,0.5,0.545455,0.560606,0.651515,0.420154,0.494355,0.045455
PostSpark 3,B,374597feb,374597feb,0.188301,0.093552,0.049795,0.3213,0.197206,4,4.84,41,0.300813,0.349593,0.51626,0.479675,0.573171,0.597561,0.638211,0.666667,0.475287,0.536387,0.02439
PostSpark 3,B,458bf5862,458bf5862,0.301863,0.190852,0.05748,0.425397,0.244498,12,9.98,42,0.281746,0.305556,0.468254,0.444444,0.52381,0.571429,0.587302,0.65873,0.440161,0.491112,0.047619
PostSpark 3,B,4854517f7,4854517f7,0.433757,0.332949,0.04721,0.550388,0.306446,30,23.78,44,0.268939,0.280303,0.44697,0.452651,0.5,0.551136,0.560606,0.645833,0.420154,0.484172,0.051136
PostSpark 3,B,552aa4343,552aa4343,0.301962,0.190882,0.057478,0.425397,0.244833,14,10.8,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.571429,0.587302,0.65873,0.440161,0.497072,0.047619
PostSpark 3,B,55fa51a8b,55fa51a8b,0.174897,0.079794,0.050568,0.300366,0.189693,2,3.42,41,0.300813,0.373984,0.51626,0.504065,0.573171,0.597561,0.638211,0.662602,0.475287,0.549073,0.02439
PostSpark 3,B,5b2c84088,5b2c84088,0.303183,0.190862,0.057472,0.428571,0.245998,24,10.84,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.579365,0.587302,0.666667,0.440161,0.497066,0.055555
PostSpark 3,B,808174633,808174633,0.286032,0.172915,0.058759,0.410423,0.239729,6,9.75,40,0.295833,0.295833,0.504167,0.466667,0.5625,0.5625,0.629167,0.658333,0.46217,0.491066,0.0
PostSpark 3,B,a0bea6137,a0bea6137,0.303145,0.190864,0.057473,0.428571,0.245958,22,10.84,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.579365,0.587302,0.666667,0.440161,0.497066,0.055555
PostSpark 3,B,a69eacf17,a69eacf17,0.313191,0.197978,0.05694,0.433962,0.254252,26,12.02,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.579365,0.587302,0.65873,0.440161,0.499335,0.055555
PostSpark 3,B,afd9e04a9,afd9e04a9,0.286303,0.172999,0.058753,0.410423,0.240627,8,9.8,40,0.295833,0.295833,0.504167,0.466667,0.5625,0.5625,0.629167,0.658333,0.46217,0.491267,0.0
PostSpark 3,B,e54d47184,e54d47184,0.302953,0.190873,0.057476,0.428571,0.245753,20,10.84,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.579365,0.587302,0.666667,0.440161,0.497077,0.055555
PostSpark 3,B,f4025186a,f4025186a,0.453807,0.354597,0.045692,0.568579,0.3179,31,25.79,44,0.268939,0.280303,0.443182,0.464015,0.496212,0.551136,0.556818,0.645833,0.420154,0.488815,0.054924
PostSpark 3,B,fbe27e0bf,fbe27e0bf,0.302088,0.190884,0.057479,0.425397,0.244636,16,10.83,42,0.281746,0.305556,0.468254,0.468254,0.52381,0.571429,0.587302,0.65873,0.440161,0.497165,0.047619
