repo,baseline,state,commit,d0,novelty,ghost_mass,changed_files_ratio,line_churn,commits_since_s0,days_since_s0,n_queries,recall1_stale,recall1_fresh,recall3_stale,recall3_fresh,recall5_stale,recall5_fresh,recall10_stale,recall10_fresh,mrr_stale,mrr_fresh,retrieval_loss
PostSpark 3,A,29a4e15d7,29a4e15d7,0.639886,0.525326,0.048565,0.715026,0.545826,56,130.93,44,0.090909,0.200758,0.143939,0.299242,0.200758,0.329545,0.246212,0.469697,0.164703,0.349221,0.128787
PostSpark 3,A,374597feb,374597feb,0.492388,0.357752,0.051406,0.586331,0.462689,32,113.02,41,0.097561,0.252033,0.154472,0.333333,0.215447,0.369919,0.276423,0.495935,0.179464,0.379891,0.154472
PostSpark 3,A,458bf5862,458bf5862,0.559756,0.427558,0.058741,0.64557,0.491986,40,118.16,42,0.095238,0.246032,0.150794,0.349206,0.210317,0.384921,0.257937,0.496032,0.172546,0.382935,0.174604
PostSpark 3,A,5192f8bcc,5192f8bcc,0.260316,0.173031,0.008018,0.398148,0.240945,20,22.6,30,0.15,0.277778,0.261111,0.361111,0.344444,0.461111,0.427778,0.511111,0.295268,0.437113,0.116667
PostSpark 3,A,5b2c84088,5b2c84088,0.559869,0.427579,0.05874,0.64557,0.492172,52,119.03,42,0.095238,0.246032,0.150794,0.349206,0.210317,0.384921,0.257937,0.496032,0.172546,0.383882,0.174604
PostSpark 3,A,9262d1dff,9262d1dff,0.108625,0.073451,0.0,0.201031,0.120601,4,5.81,28,0.178571,0.136905,0.297619,0.380952,0.386905,0.434524,0.47619,0.559524,0.316591,0.334887,0.047619
PostSpark 3,A,a4d32bab9,a4d32bab9,0.219444,0.148531,0.00828,0.352381,0.190637,8,11.06,30,0.15,0.227778,0.261111,0.327778,0.344444,0.377778,0.427778,0.544444,0.295268,0.385706,0.033334
PostSpark 3,A,aa2521c96,aa2521c96,0.24778,0.159902,0.008147,0.386792,0.22932,16,17.74,30,0.15,0.277778,0.261111,0.327778,0.344444,0.427778,0.427778,0.477778,0.295268,0.422424,0.083334
PostSpark 3,A,afd9e04a9,afd9e04a9,0.550033,0.414916,0.060038,0.636364,0.488833,36,117.98,40,0.1,0.258333,0.158333,0.316667,0.220833,0.379167,0.270833,0.508333,0.181173,0.383831,0.158334
PostSpark 3,A,e54d47184,e54d47184,0.55984,0.427542,0.058744,0.64557,0.492032,48,119.02,42,0.095238,0.246032,0.150794,0.349206,0.210317,0.384921,0.257937,0.496032,0.172546,0.383836,0.174604
PostSpark 3,A,ec3dbfd29,ec3dbfd29,0.385446,0.292577,0.006813,0.507812,0.341933,28,108.19,39,0.115385,0.179487,0.200855,0.290598,0.264957,0.316239,0.32906,0.470085,0.227129,0.319043,0.051282
PostSpark 3,A,f4025186a,f4025186a,0.653537,0.542835,0.046746,0.726368,0.556416,59,133.97,44,0.090909,0.166667,0.143939,0.287879,0.200758,0.344697,0.246212,0.454545,0.164703,0.320077,0.143939
PostSpark 3,A,f7c0b2d2f,f7c0b2d2f,0.234649,0.153403,0.008221,0.383886,0.206191,12,14.76,30,0.15,0.211111,0.261111,0.344444,0.344444,0.461111,0.427778,0.494444,0.295268,0.385676,0.116667
PostSpark 3,A,fbe27e0bf,fbe27e0bf,0.559872,0.427584,0.05874,0.64557,0.492125,44,119.02,42,0.095238,0.246032,0.150794,0.349206,0.210317,0.384921,0.257937,0.496032,0.172546,0.383697,0.174604
PostSpark 3,A,fd26cb58f,fd26cb58f,0.262985,0.17304,0.008012,0.398148,0.245387,24,31.13,30,0.15,0.277778,0.261111,0.344444,0.344444,0.461111,0.427778,0.511111,0.295268,0.437463,0.116667
PostSpark 3,B,0c8534b51,0c8534b51,0.297829,0.186185,0.057811,0.421725,0.243246,10,9.82,41,0.182927,0.252033,0.288618,0.357724,0.300813,0.394309,0.410569,0.50813,0.297538,0.392055,0.093496
PostSpark 3,B,10b598724,10b598724,0.302715,0.190873,0.057476,0.428571,0.245478,18,10.84,42,0.178571,0.246032,0.281746,0.349206,0.293651,0.384921,0.400794,0.496032,0.290454,0.383836,0.09127
PostSpark 3,B,29a4e15d7,29a4e15d7,0.429022,0.329538,0.047503,0.542857,0.302022,28,22.74,44,0.170455,0.200758,0.268939,0.299242,0.280303,0.329545,0.382576,0.469697,0.277252,0.349221,0.049242
PostSpark 3,B,374597feb,374597feb,0.188301,0.093552,0.049795,0.3213,0.197206,4,4.84,41,0.182927,0.252033,0.288618,0.333333,0.300813,0.369919,0.422764,0.495935,0.299415,0.379891,0.069106
PostSpark 3,B,458bf5862,458bf5862,0.301863,0.190852,0.05748,0.425397,0.244498,12,9.98,42,0.178571,0.246032,0.281746,0.349206,0.293651,0.384921,0.400794,0.496032,0.290454,0.382935,0.09127
PostSpark 3,B,4854517f7,4854517f7,0.433757,0.332949,0.04721,0.550388,0.306446,30,23.78,44,0.170455,0.189394,0.268939,0.299242,0.280303,0.340909,0.382576,0.44697,0.277252,0.340325,0.060606
PostSpark 3,B,552aa4343,552aa4343,0.301962,0.190882,0.057478,0.425397,0.244833,14,10.8,42,0.178571,0.246032,0.281746,0.349206,0.293651,0.384921,0.400794,0.496032,0.290454,0.383714,0.09127
PostSpark 3,B,55fa51a8b,55fa51a8b,0.174897,0.079794,0.050568,0.300366,0.189693,2,3.42,41,0.182927,0.227642,0.288618,0.284553,0.300813,0.321138,0.422764,0.463415,0.299415,0.348264,0.020325
PostSpark 3,B,5b2c84088,5b2c84088,0.303183,0.190862,0.057472,0.428571,0.245998,24,10.84,42,0.178571,0.246032,0.281746,0.349206,0.293651,0.384921,0.400794,0.496032,0.290454,0.383882,0.09127
PostSpark 3,B,808174633,808174633,0.286032,0.172915,0.058759,0.410423,0.239729,6,9.75,40,0.1875,0.258333,0.295833,0.341667,0.308333,0.404167,0.433333,0.508333,0.304977,0.392793,0.095834
PostSpark 3,B,a0bea6137,a0bea6137,0.303145,0.190864,0.057473,0.428571,0.245958,22,10.84,42,0.178571,0.246032,0.281746,0.349206,0.293651,0.384921,0.400794,0.496032,0.290454,0.383882,0.09127
PostSpark 3,B,a69eacf17,a69eacf17,0.313191,0.197978,0.05694,0.433962,0.254252,26,12.02,42,0.178571,0.222222,0.281746,0.337302,0.293651,0.373016,0.400794,0.531746,0.290454,0.375285,0.079365
