repo,baseline,state,query_id,query_type,eligible,n_relevant,stale_rank,fresh_rank,recall1_stale,recall3_stale,recall5_stale,recall10_stale,mrr_stale,recall1_fresh,recall3_fresh,recall5_fresh,recall10_fresh,mrr_fresh
PostSpark 3,A,9262d1dff,q-001,auth-modified,1,2,68,72,0.0,0.0,0.0,0.0,0.014706,0.0,0.0,0.0,0.0,0.013889
PostSpark 3,A,9262d1dff,q-002,auth-central,1,3,2,2,0.0,0.333333,0.333333,0.333333,0.5,0.0,0.333333,0.333333,0.333333,0.5
PostSpark 3,A,9262d1dff,q-003,billing-central,1,2,1,3,0.5,0.5,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.333333
PostSpark 3,A,9262d1dff,q-004,billing-infra,1,2,1,1,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,9262d1dff,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,9262d1dff,q-006,ui-peripheral,1,1,4,2,0.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,9262d1dff,q-007,db-config,1,1,74,80,0.0,0.0,0.0,0.0,0.013514,0.0,0.0,0.0,0.0,0.0125
PostSpark 3,A,9262d1dff,q-008,db-central,1,1,55,60,0.0,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.016667
PostSpark 3,A,9262d1dff,q-010,ai-central,1,1,3,3,0.0,1.0,1.0,1.0,0.333333,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,9262d1dff,q-014,ai-stable,1,2,7,8,0.0,0.0,0.0,0.5,0.142857,0.0,0.0,0.0,0.5,0.125
PostSpark 3,A,9262d1dff,q-015,feature-stable,1,3,88,1,0.0,0.0,0.0,0.0,0.011364,0.333333,0.333333,0.333333,0.333333,1.0
PostSpark 3,A,9262d1dff,q-016,feature-added,1,1,-1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,9262d1dff,q-018,ai-added,1,1,-1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625
PostSpark 3,A,9262d1dff,q-019,feature-stable,1,1,26,27,0.0,0.0,0.0,0.0,0.038462,0.0,0.0,0.0,0.0,0.037037
PostSpark 3,A,9262d1dff,q-027,editor-modified,1,1,-1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923
PostSpark 3,A,9262d1dff,q-028,editor-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,9262d1dff,q-029,editor-modified,1,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,9262d1dff,q-032,client-central,1,1,15,13,0.0,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,0.0,0.076923
PostSpark 3,A,9262d1dff,q-033,client-infra,1,2,4,4,0.0,0.0,0.5,1.0,0.25,0.0,0.0,0.5,1.0,0.25
PostSpark 3,A,9262d1dff,q-035,config-central,1,1,113,121,0.0,0.0,0.0,0.0,0.00885,0.0,0.0,0.0,0.0,0.008264
PostSpark 3,A,9262d1dff,q-036,infra-central,1,1,52,68,0.0,0.0,0.0,0.0,0.019231,0.0,0.0,0.0,0.0,0.014706
PostSpark 3,A,9262d1dff,q-037,api-central,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,9262d1dff,q-038,feature-stable,1,1,15,9,0.0,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,1.0,0.111111
PostSpark 3,A,9262d1dff,q-039,feature-stable,1,1,6,6,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,0.0,1.0,0.166667
PostSpark 3,A,9262d1dff,q-040,feature-stable,1,3,51,55,0.0,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.0,0.018182
PostSpark 3,A,9262d1dff,q-044,editor-deleted,1,2,9,10,0.0,0.0,0.0,0.5,0.111111,0.0,0.0,0.0,0.5,0.1
PostSpark 3,A,9262d1dff,q-045,ui-deleted,1,1,2,3,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,9262d1dff,q-046,view-added,1,1,3,2,0.0,1.0,1.0,1.0,0.333333,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,a4d32bab9,q-001,auth-modified,1,2,122,30,0.0,0.0,0.0,0.0,0.008197,0.0,0.0,0.0,0.0,0.033333
PostSpark 3,A,a4d32bab9,q-002,auth-central,1,3,2,36,0.0,0.333333,0.333333,0.333333,0.5,0.0,0.0,0.0,0.0,0.027778
PostSpark 3,A,a4d32bab9,q-003,billing-central,1,2,1,3,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.333333
PostSpark 3,A,a4d32bab9,q-004,billing-infra,1,2,1,1,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
